name,updatedAt,artist,url,type,attribute,note
六番目の駅,"Jan 30 2021, 06:36:14",久石譲,https://www.youtube.com/watch?v=2xda4Wl05Kg,instrumental,dark,""
The Bygone Days,"Jan 30 2021, 06:38:04",久石譲,https://www.youtube.com/watch?v=Htq2EUgcrKE,instrumental,"",""
Submerged Castle,"Jan 30 2021, 06:40:03",Pikmin 2,https://www.youtube.com/watch?v=N2Ikt9RJCNk,instrumental,dark,""
Berry,"Jan 30 2021, 06:41:17",unmo,https://soundcloud.com/unmo/berry,song,"",""
Shelter,"Jan 30 2021, 07:17:23",Porter Robinson,https://www.youtube.com/watch?v=HQnC1UHBvWA,instrumental,comfortable,Porter Robinson & Madeon
stella,"Jan 30 2021, 07:28:35",her,https://soundcloud.com/h_e-r/stella,song,"",unmo
Disco _,"Jan 30 2021, 07:29:29",Pinoki,https://www.youtube.com/watch?v=wF390udx-Pk&list=RDMMwF390udx-Pk&start_radio=1,song,"",""
Call your name,"Jan 30 2021, 07:30:19",unmo,https://soundcloud.com/unmo/call-your-name,song,comfortable,""
musasabi,"Jan 30 2021, 07:30:55",unmo,https://soundcloud.com/unmo/musasabi,song,comfortable,arranged by beef
Bonfire,"Jan 30 2021, 07:32:17",Harryan Yoonsoan,https://www.youtube.com/watch?v=2kosc1vJqlY&list=RDMMwF390udx-Pk&index=8,song,comfortable,Peder Elias
It's Raining Somewhere Else,"Jan 30 2021, 07:34:16",insaneintherainmusic,https://www.youtube.com/watch?v=MQ7zp_zyQHA&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=1,instrumental,dark,Toby Fox
When She Loved Me,"Jan 30 2021, 07:35:25",Stella Jang,https://www.youtube.com/watch?v=1VNdFaoErtc&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=4,song,dark,Toy Story 2
Delicate,"Jan 30 2021, 07:36:40",Taylor Swift,https://www.youtube.com/watch?v=tCXGJQYZ9JA&list=PLVcLj0DkpzD-8Ol-PKNZGj9AlnxJ31gqz&index=2,song,dark,""
ウ”ィ”エ”,"Jan 30 2021, 07:42:08",バーバパパ,https://www.youtube.com/watch?v=iSsct7423J4&list=PLVcLj0DkpzD_sqeWfBCP-AhLMx6HaNMPK&index=1,instrumental,dark,""
音虫をつかまえろ！,"Jan 30 2021, 07:42:48",KiWi,https://www.youtube.com/watch?v=o2gmUbDrqRE&list=RDGMEMYH9CUrFO7CfLJpaD7UR85w,song,dark,""
